,R a s i o   k o n s u m s i   e n e r g i   p a d a   p e r t a n i a n   d a n   s i s t e m   p a n g a n   ( % ) p a d a   t i g a   n e g a r a   m a j u,R a s i o   k o n s u m s i   e n e r g i   p a d a   p e r t a n i a n   d a n   s i s t e m   p a n g a n   ( % ) p a d a   t i g a   n e g a r a   m a j u,R a s i o   k o n s u m s i   e n e r g i   p a d a   p e r t a n i a n   d a n   s i s t e m   p a n g a n   ( % ) p a d a   t i g a   n e g a r a   m a j u,R a s i o   k o n s u m s i   e n e r g i   p a d a   p e r t a n i a n   d a n   s i s t e m   p a n g a n   ( % ) p a d a   t i g a   n e g a r a   m a j u
0,Britania Raya[69],2005,1.9,11
1,Amerika Serikat[70],1996,2.1,10
2,Amerika Serikat[71],2002,2.0,14
3,Swedia[72],2000,2.5,13
