,B i l a b i a l,B i l a b i a l . 1,L a b i o - d e n t a l,L a b i o - d e n t a l . 1,D e n t a l / A l v e o l a r,D e n t a l / A l v e o l a r . 1,P o s t - a l v e o l a r,P o s t - a l v e o l a r . 1,P a l a t a l,P a l a t a l . 1,V e l a r,V e l a r . 1,U v u l a r,U v u l a r . 1
0,m,m,,,n,n,,,ɲ,ɲ,,,,
1,p,b,,,t,d,,,,,k,ɡ,,
2,,,f,v,s,z,ʃ,ʒ,,,ʁ,ʁ,ʁ,ʁ
3,,,,,l,l,,,ʎ,ʎ,,,,
4,,,,,ɾ,ɾ,,,,,,,,
