,N a m a   b a h a s a,K o d e   b a h a s a   I S O   6 3 9 - 3,K o d e   b a h a s a   B P S
0,Bahasa Abung,abl,
1,Bahasa Aceh,ace,ach
2,Bahasa Alas-Kluet,btz,als
3,Bahasa Bangka,mfb,
4,Bahasa Basemah,pse,bsm
5,Bahasa Batak Angkola,akb,
6,Bahasa Batak Mandailing,btm,
7,Bahasa Batak Simalungun,bts,
8,Bahasa Batak Toba,bbc,
9,Bahasa Bengkulu,bke,
10,Bahasa Col,liw,
11,Bahasa Dairi,btd,
12,Bahasa Devayan,,
13,Bahasa Duano,dup,
14,Bahasa Enggano,eno,
15,Bahasa Gayo,gay,gy
16,Bahasa Haji,hji,
17,Bahasa Kaur,vkk,
18,Bahasa Karo,btx,
19,Bahasa Kerinci,kvr,
20,Bahasa Komering,kge,ko
21,Bahasa Kubu,kvb,
22,Bahasa Lampung,ljp,lp
23,Bahasa Lematang,lmt,lmt
24,Bahasa Lengkayap,,lkp
25,Bahasa Loncong,lce,
26,Bahasa Lubu,lcf,
27,Bahasa Melayu,zlm,
28,Bahasa Melayu Belitung,,mbl
29,Bahasa Melayu Jambi,jax,jb
30,Bahasa Melayu Medan,,md
31,Bahasa Melayu Palembang,mui,plb
32,Bahasa Melayu Riau,,ri
33,Bahasa Mentawai,mwv,
34,Bahasa Minangkabau,min,mk
35,Bahasa Musi,mui,
36,Bahasa Nias,nia,ni
37,Bahasa Ocu,okr,
38,Bahasa Pekal,pel,
39,Bahasa Penesak,pen,
40,Bahasa Rejang,rej,
41,Bahasa Sakai,,
42,Bahasa Sekayu,,sky
43,Bahasa Sigulai,skh,
44,Bahasa Simeulue,smr,
