,D i a l e k   M u k o m u k o   U t a r a,D i a l e k   M u k o m u k o   S e l a t a n,B a h a s a   I n d o n e s i a
0,kulit,kulik,kulit
1,gigit,gigik,gigit
2,perut,peghut,perut
3,utaro,utagho,utara
4,barat,baghat,barat
5,gatieng,ghatieng,ranting
6,gambut,ghambuq,rambut
7,giang,ghiang,riang
8,lutut,lutuq,lutut
