,M a s k a p a i,T u j u a n
0,AirAsia,"Bintulu, Johor Bahru, Kota Bharu, Kota Kinabalu, Kuala Lumpur–Internasional, Miri, Penang, Sibu"
1,Malaysia Airlines,"Hanoi, Kota Kinabalu, Kuala Lumpur–Internasional, Miri, Penang"
2,Malindo Air,Kuala Lumpur–Internasional
3,MASwings,"Limbang, Mukah, Mulu, Tanjung Manis"
4,Scoot,Singapura
