,L a b i a l,L a b i a l . 1,A l v e o l a r,A l v e o l a r . 1,P a l a t a l,P a l a t a l . 1,V e l a r,V e l a r . 1,G l o t t a l,G l o t t a l . 1
0,p,b,t,d,,,k,g,,
1,f,,s,,,,,,h,
2,,m,,n,,,ŋ <ng>,,,
3,,w,,,j <y>,,,,,
4,,,,r,,,,,,
5,,,,l,,,,,,
