,Z a t,K a d a r   ( ‰ ),%   d a r i   t o t a l   g a r a m
0,Klorida,193,55
1,Natrium,108,306
2,Sulfat,27,77
3,Magnesium,13,37
4,Kalsium,041,12
5,Kalium,040,11
6,Bikarbonat,010,04
7,Bromida,007,02
8,Karbonat,001,005
9,Stronsium,001,004
10,Borat,001,001
11,Fluorida,0001,"<0,01"
12,Zat larut lainnya,"<0,001","<0,01"
