,J a b a t a n   p a r t a i   p o l i t i k,J a b a t a n   p a r t a i   p o l i t i k . 1,J a b a t a n   p a r t a i   p o l i t i k . 2
0,Didahului oleh:Viscount Addison,Ketua New Fabian Research Bureau1937 – 1939,Diteruskan oleh:Position abolished
1,Didahului oleh:New position,Ketua Fabian Society1937 – 1946,Diteruskan oleh:Harold Laski
2,Didahului oleh:Harold Laski,Ketua Fabian Society1948 – 1950,Diteruskan oleh:John Parker
3,Didahului oleh:Stafford Cripps,Presiden Fabian Society1952 – 1959,Diteruskan oleh:Margaret Cole
