,M e s i n   p e n c a r i,P a n g s a   p a s a r   M e i   2 0 1 1,P a n g s a   p a s a r   M e i   2 0 1 1 . 1,P a n g s a   p a s a r   D e s e m b e r   2 0 1 0 [ 4 ],P a n g s a   p a s a r   D e s e m b e r   2 0 1 0 [ 4 ] . 1
0,Google,"82,80%",,"84,65%",
1,Yahoo!,"6,42%",,"6,69%",
2,Baidu,"4,89%",,"3,39%",
3,Bing,"3,91%",,"3,29%",
4,Yandex,"1,7%",,"1,3%",
5,Ask,"0,52%",,"0,56%",
6,AOL,"0,3%",,"0,42%",
