,B i j i - b i j i a n,2 0 0 5   ( M e t r i k   T o n ),1 9 6 1   ( M e t r i k   T o n )
0,Jagung,711.762.871,205.004.683
1,Gandum,630.556.602,222.357.231
2,Padi[3],621.588.528,284.654.697
3,Jelai,139.220.431,72.411.104
4,Sorgum,59.722.088,40.931.625
5,Milet,30.302.450,25.703.968
6,Haver,24.032.521,49.588.769
7,Gandum hitam,15.202.142,35.109.990
8,Triticale,12.962.777,0
9,Buckwheat,2.127.823,2.478.596
10,Fonio,284.578,178.483
11,Kinoa,58.443,32.435
