,J e n i s   t a n a h,D i a m e t e r   p a r t i k e l
0,Liat,less than 0.002
1,Lanau,0.002–0.05
2,Berpasir sangat halus,0.05–0.10
3,Berpasir halus,0.10–0.25
4,Berpasir sedang,0.25–0.50
5,Berpasir kasar,0.50–1.00
6,Berpasir sangat kasar,1.00–2.00
