,a,i,u,e,o
0,ア,イ,ウ,エ,オ
1,カ,キ,ク,ケ,コ
2,サ,シ,ス,セ,ソ
3,タ,チ,ツ,テ,ト
4,ナ,ニ,ヌ,ネ,ノ
5,ハ,ヒ,フ,ヘ,ホ
6,マ,ミ,ム,メ,モ
7,ヤ,,ユ,,ヨ
8,ラ,リ,ル,レ,ロ
9,ワ,ヰ,,ヱ,ヲ
