,N o,K r i t e r i a,A l a t   p e r t a n i a n,M e s i n   p e r t a n i a n
0,1,Bentuk dan mekanisme yang digunakan,Bentuk dan mekanisme sederhana,Bentuk dan mekanisme lebih kompleks
1,2,Tenaga penggerak,Umumnya manual(dengan tenaga manusia),Umumnya menggunakan mesin
2,3,Jumlah proses,Sedikit,Banyak
