,G e n u s   v i r u s,S p e s i e s   v i r u s,I n a n g   p e k a [ 3 ]
0,Alphainfluenzavirus,Influenza A virus,"Manusia, mamalia lain, dan burung"
1,Betainfluenzavirus,Influenza B virus,Manusia dan anjing laut
2,Gammainfluenzavirus,Influenza C virus,Manusia dan babi
3,Deltainfluenzavirus,Influenza D virus,Sapi
