,#,S a m u d r a,L o k a s i,A r e a ( k m 2 ) ( % ),V o l u m e ( k m 3 ) ( % ),R a t a - r a t a   k e d a l a m a n ( m ),G a r i s   p a n t a i ( k m ),P e t a
0,1,Samudra Pasifik,Memisahkan Asia dan Australasia dengan Amerika[1],46.6,50.1,,,
1,2,Samudra Atlantik,Memisahkan Amerika dengan Eropa dan Afrika[2],23.5,23.3,,,
2,3,Samudra Hindia,Berbatasan dengan Asia selatan dan memisahkan Afrika serta Australia[3],19.5,19.8,,,
3,4,Samudra Selatan,"Mengitari Antarktika. Kadang dianggap sebagai bagian dari Samudra Pacifik, Atlantik dan Hindia[4]",6.1,5.4,,,
4,5,Samudra Arktik,"Berbatasan dengan Amerika Utara dan Eurasia, mencakup sebagian besar Arktik. Kadang dianggap laut atau muara dari Atalantik.[5]",4.3,1.4,,,
5,Total – Samudra Dunia,Total – Samudra Dunia,Total – Samudra Dunia,100.0,100.0,,[6][7],
