,I s t i l a h   p a p a n   s k o r,S p e s i f i k a s i   i s t i l a h,D e f i n i s i
0,-3,double-eagle (albatross),tiga pukulan di bawah par
1,-2,eagle,dua pukulan di bawah par
2,-1,birdie,satu pukulan di bawah par
3,0,par,jumlah pukulan sama dengan par
4,1,bogey,satu pukulan di atas par
5,2,double bogey,dua pukulan di atas par
6,3,triple bogey,tiga pukulan di atas par
