,S e b u t a n,N i l a i,K e t e r a n g a n
0,Sen (¢),"Rp0,01",ada koin pecahan 1 dan 5 ¢
1,"Cepeng, Hepeng","0,25¢","dari feng, dipakai di kalangan Tionghoa"
2,Peser,"0,50¢",
3,Pincang,"1,50¢",
4,"Gobang, Benggol","2,50¢",
5,"Ketip, Kelip, Stuiver (bahasa Belanda)","Rp0,05",ada koin pecahannya
6,Picis,"Rp0,10",ada koin pecahannya
7,Tali,"Rp0,25",ada koin pecahan 25 dan 50 ¢
8,Uang,"8,33¢",⅓ tali
