,0,1,2,3
0,Tubbe,Mauta,Lamma,Arti
1,bis,bis,salepi,‘tukar’
2,haweri,haweri,bana,‘banyak’
3,kalla,kalla,kisang,‘kecil’
4,karani,karani,sinnal,‘Canarium sp.’
5,sai,hoba,hobi,‘gemetar’
