,N a m a,B a n k,K e l o m p o k   b e s a r   p e r u s a h a a n
0,Mitsubishi,Mitsubishi Bank (sampai 1996)Bank of Tokyo-Mitsubishi (1996–2005)Bank of Tokyo-Mitsubishi UFJ (2006– ),"Mitsubishi Corporation, Kirin Brewery, Mitsubishi Electric, Mitsubishi Fuso, Mitsubishi Motors, Nippon Yusen, Nippon Oil, Tokio Marine and Fire Insurance, Nikon, Mitsubishi Chemical, Mitsubishi Estate, Mitsubishi Heavy Industries, Mitsubishi Rayon Co., Ltd., Mitsubishi Materials Corp., Mitsubishi Paper Mills Ltd., Pacific Consultants International Ltd."
1,Mitsui,Mitsui Bank (sampai 1990)Sakura Bank (1990–2001)Sumitomo Mitsui Bank (2001– ),"Fuji Photo Film, Mitsui Real Estate, Mitsukoshi, Suntory, Toshiba"
2,Sumitomo,Sumitomo Bank (sampai 2001)Sumitomo Mitsui Bank (2001– ),"Asahi Breweries, Hanshin Railway, Keihan Railway, Mazda, Nankai Railway, NEC, Nippon Koei, Sumitomo Real Estate"
3,Fuyo,Fuji Bank (sampai 2000)Mizuho Bank (2000– ),"Canon, Hitachi, Marubeni, Matsuya, Nissan, Ricoh, Tobu Railway, Yamaha"
4,Dai-Ichi Kangyo,Dai-Ichi Kangyo Bank (sampai 2000)Mizuho Bank (2000– ),"Fujitsu, Hitachi, Isuzu, Itochu, Tokyo Electric Power"
5,"Sanwa (""Midorikai"")",Sanwa Bank (sampai 2002)UFJ Bank (2002–2006)Bank of Tokyo-Mitsubishi UFJ (2006– ),"Hankyu Railway, Keisei Railway, Kobe Steel, Konica Minolta, Kyocera, Orix, Shin-Maywa, Takashimaya, Toho"
