,k a t a,I P A,b u n y i,c o n t o h
0,ai,/aj/,/aɪ/,"santai, lambai, pandai"
1,au,/aw/,/aʊ/,"kerbau, danau"
2,oi,/oj/,/oɪ/,"koboi, amboi"
3,ei,/ej/,/eɪ/,"geiser, survei"
