,O r a n g,K a t a   g a n t i   e m p u n y a,C o n t o h,A r t i
0,Pertama tunggal,nɪŋ atau nuŋ,nɪŋ kubaŋ (ning kubang),Uang saya
1,Kedua tunggal,mu,mu kubaŋ (mu kubang),Uang engkau
2,Ketiga tunggal,ni,ni kubaŋ (ni kubang),Uang dia
3,Pertama jamak (inklusif),did,did kubaŋ (did kubang),Uang kita
4,Pertama jamak (ekslusif),mam,mam kubaŋ (mam kubang),Uang kami
5,Kedua jamak,bir,bir kubaŋ (bir kubang),Uang kalian
6,Ketiga jamak,rir,rir kubaŋ (rir kubang),Uang mereka
