,K o s a k a t a,Z a z a,S o r a n,K u r m a n j i,P a s h t u n,T a t i,T a l i s i,B a l u c h i,G i l a k i,M a z a n d a r a n,P e r s i a   T a t,L u r i,P e r s i a   I r a n,P e r s i a   P e r t e n g a h a n,P a r t i a,P e r s i a   K u n o,A v e s t a,O s s e t i a
44,nama,name,"naw, nêw",nav,nūm,num,nom,nâm,nowm,num,num,num,nâm,nâm,,nâman,nãman,nom
45,malam,şew,şew,şev,špa,"šö, šav",şav,"šap, shaw",şow,şow,şöü,şo,shab,shab,,xšap-,xšap-,æxsæv
46,membuka,akerdene,kirdinewe,vekirin,prānistəl,vâz-kardan,okarde,"pāch, pabozag",va-gudən/kudən,vâ-hekârden,vakardən,vākerde(n),"bâz-kardan, va-kardan","abâz-kardan, višādag",,būxtaka-,būxta-,gom kænyn
47,damai,haşti/aşti,"aştî, aramî","aştî, aramî","rōɣa, t͡sōkāləi",dinj,aşiş,ârâm,aşt,âştî,"salaməti, dinci",āş(t)i,"âshti, ârâmeš, ârâmî, sâzish","âštih, râmīšn","râm, râmīšn",šiyâti-,râma-,fidyddzinad
48,babi,"xoz/xonz, xınzır","beraz,goraz",beraz,"soḍər, xənd͡zir (Arabic), xug","xu, xuyi, xug",xug,"khug, huk",xi,xî,xug,xuk,xūk,xūk,,,hū,xwy
49,tempat,ca,"cê(cêga), ga","cih, geh",d͡zāi,yâga,vira,"ja, jaygah, hend","jiga, jige",jâ,"cigə, cə",jā,jâh/gâh,gâh,gâh,gâθu-,"gâtu-, gâtav-",ran
50,baca,wendene,xwendin/xwêndin,xwendin,"lwastəl, kōtəl",baxânden,"hande, xwande","wánag, wānten",xowndən,"baxinden, baxundesten",xundən,vane(n),xândan,xwândan,,,,kæsyn
51,berkata,vatene,"gutin, witin",gotin,wayəl,"vâten, baguten",vote,"gushag, guashten","gutən, guftən",baowten,"guftirən, gaf saxtən",gute(n),"goftan, gap(-zadan)","guftan, gōw-, wâxtan",gōw-,gaub-,mrû-,dzuryn
52,saudari,waye,"xweh, xweşk, xoşk, xuşk, xoyşk",xwîşk,xōr (xʷōr),"xâke, xâv, xâxor, xuâr",hova,gwhâr,"xâxur, xâxer",xâxer,xuvar,xuar,xâhar/xwâhar,xwahar,,,"x ̌aŋhar- ""sister""",xo
53,small,"qıc/qıyt, wırd/werdi","giçke, qicik, hûr, biçûk","biçûk, hûr","kūčnay, waṛ(ū)kay","qijel, ruk",hırd,"gwand, hurd","kuçe, kuçi, kuji","peçik, biçuk, xurd","küçük, küşkin, kişgələ, kəm",koçek,"kuchak, kam, xurd, rîz","kam, rangas",kam,kamna-,kamna-,chysyl
54,putra,"lac, laj",law/kuř,"kur, law",d͡zoy (zoy),"pur, zâ","zoə, zurə","possag, baç","vaçe, rika, rike, pisər",piser/rîkâ,kuk,kor,"pesar, pur","pur, pusar",puhr,puça,pūθra-,fyrt
55,jiwa,"roh, gan","can, giyan, rewan, revan","reh, can",sā,rəvân,con,rawân,jown,"ro, jân",can,,"ravân, jân","rūwân, jyân","rūwân, jyân",,urvan-,ud
56,musim semi,wesar/usar,"behar, wehar","bihar, behar",spərlay,vâ:âr,"əvəsor, bahar",bārgāh,"vəhâr, bâhâr",vehâr,vasal,"behār, vehār",bahâr,wahâr,,vâhara-,θūravâhara-,
57,tinggi,berz,bilind/berz,bilind/berz,"lwəṛ, ǰəg",pilla,"barz, bılınd","borz, bwrz","bulənd, bələnd",bilen(d),bülünd,beleŋ,boland / bârz,"buland, borz",bârež,,barez-,bærzond
58,sepuluh,des,deh/de,deh,ləs,da,da,dah,da,da,də,da,dah,dah,,datha,dasa,dæs
59,tiga,hirê/hiri,sê,sê,drē,"so, se","se, he",sey,"su, se",se,sə,se,se,sê,hrē,çi-,θri-,ærtæ
60,desa,dewe,"gund, dêhat, dê, awayî",gund,kəlay,"döh, da",di,"dehāt, helk, kallag, dê",,"dih, male, kola",di,de,"deh, wis",wiž,dahyu-,"vîs-, dahyu-",vîs,qæw
61,ingin,waştene,"xwastin, wîstin",xwestin,ɣ(ʷ)ux̌təl,"begovastan, jovastan",piye,"loath, loteten","xæsən, xæstən",bexâsten,"xastən, vayistən",hāse,xâstan,xwâstan,,,,fændyn
62,air,"awe/awk, owe, ou",aw,av,obə/ūbə,"âv, ö","ov, wat(dialek Orandia)",âp,"ow, âv",ow,ou,ow,âb,âb/aw,aw,âpi,avô-,don
63,kapan,key,"key, kengî(Hewlêrî)","kengê, kîngê",kəla,key,keyna,"kadi, ked",ken,ke,"key, çüvəxti",ke,key,kay,ka,,čim-,kæd
64,angin,va,"ba, wa (pehlewanî)",ba,siləi,vâ,vo,gwáth,,vâ,var,bād,bâd,wâd,wa,,vâta-,dymgæ / wad
65,serigala,verg,"gurg,",gur,"lewə, šarmux̌ (šarmuš̥)",varg,varg,gurk,vərg,verg,gürg,gorg,gorg,gurg,,varka-,vehrka,birægh
66,wanita,cıni/ceni,"jin, afret, zindage,gyian",jin,x̌əd͡za (š̥əd͡za),"zeyniye, zenak","jen, jiyan","jan, jinik",zan,zan,zən,zena,zan,zan,žan,,"gǝnā, γnā, ǰaini-,",sylgojmag / us
67,tahun,serre,sal/sał,sal,kāl,sâl,"sor, sal",sâl,sâl,sâl,sal,sāl,sâl,sâl,,θard,"ýâre, sarәd",az
68,ya / tidak,"ya, heya, ê / nê, ney, ni","bełê, a, erê / na, nexêr","erê, belê, a / na","Hao, ao, wō / na, ya",ahan / na,"ha / ne, na","ere, hān / na","âhâ,æhæ/na",are / nâ,"həri, hə / nə","a, ā / na","baleh, ârē, hā / na, née",ōhāy / ne,hâ / ney,"yâ / nay, mâ","yâ / noit, mâ",o / næ
69,kemarin,vızêr,"dwênê, duêka",duho,parūn,"azira, zira, diru","zir, zinə",zí,diru,dîruz,deydi,diru,diruz,dêrûž,,diya(ka),zyō,znon
70,Kosakata,Zaza,Soran,Kurmanji,Pashtun,Tati,Talisi,Baluchi,Gilaki,Mazandaran,Persia Tat,Luri,Persia Iran,Persia Pertengahan,Partia,Persia Kuno,Avesta,Ossetia
