,L a b i a l,A l v e o l a r,P o s t a l v e o l a r,P a l a t a l,V e l a r,G l o t t a l
0,m,n,,ɲ,ŋ,
1,p,t,,,k,ʔ
2,b,d,,,ɡ,
3,,,tʃ,,,
4,,,dʒ,,,
5,,,,ç,,h
6,,l,,j,w,
7,,r,,,,
