,0,1,2,3,4,5
0,Grammy Award,Grammy Award,Grammy Award,Grammy Award,Grammy Award,Grammy Award
1,Tahun,Kategori,Judul,Genre,Label,Hasil
2,1964,Penampilan Vokal Pria,"""Hello, Dolly!""",Pop,Kapp,Menang
