,N a m a,T a n g g a l   k e l a h i r a n   d a n   u s i a,A s a l p r e f e k t u r,T i n g g i,W a r n a,J u l u k a n   R e s m i,C a t a t a n
0,Saki Yamakita (山北早紀),28 Februari 1991 (umur 32),Hokkaido,163cm,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Hijau,Saki-sama,Pemimpin
1,Azuki Shibuya (澁谷梓希),11 Agustus 1993 (umur 29),Saitama,165cm,Kuning,Zucchan,
2,Himika Akaneya (茜屋日海夏),16 Juli 1994 (umur 28),Akita,160cm,Ungu,Himi,
3,Yū Serizawa (芹澤優),03 Desember 1994 (umur 28),Tokyo,163cm,Biru,Yuu,
4,Miyu Kubota (久保田未夢),31 Januari 1995 (umur 28),Saitama,156cm,Jingga,Miyu-tan,
5,Yūki Wakai (若井友希),30 Oktober 1995 (umur 27),Gifu,145cm,Merah,Yuuki,
