,P e n d u d u k,P e n d a p a t a n   r u m a h   t a n g g a   r a t a - r a t a   ( m a t a   u a n g   l o k a l ),P e n d a p a t a n   r u m a h   t a n g g a   r a t a - r a t a   ( P P P   U S $ )
0,324.034,AUS$91.624,$62.961
1,192.898,AUS$86.788,$59.443
2,1.959.088,AUS$72.800,$49.863
3,3.904.532,AUS$68.276,$46.764
4,4.932.422,AUS$66.872,$45.802
5,19.855.328,AUS$66.820,$45.767
6,6.549.177,AUS$66.820,$45.767
7,4.100.000,"NZ $62,556 [1]",$39.486
8,1.514.377,AUS$55.848,$38.252
9,476.481,AUS$50.700,$34.726
