,U r u t a n,"K o t a ,   P r o v i n s i",P o p u l a s i
0,1,"Jakarta, DKI Jakarta",8.839.247
1,2,"Surabaya, Jawa Timur",2.611.506
2,3,"Bandung, Jawa Barat",2.288.570
3,4,"Bekasi, Jawa Barat",1.940.308
4,5,"Tangerang, Banten",1.451.595
5,6,"Semarang, Jawa Tengah",1.352.869
6,7,"Depok, Jawa Barat",1.339.263
7,8,"Bogor, Jawa Barat",891.467
8,9,"Malang, Jawa Timur",773.174
9,10,"Cimahi, Jawa Barat",546.879
