,H u r u f,P e n g u c a p a n,I n t e r n a s i o n a l
0,ا,alif,alif
1,ب,ba,bāʾ
2,ت,ta,tāʾ
3,ث,tsa,ṯāʾ
4,ج,jim,ǧīm
5,ح,ha,ḥāʾ
6,خ,kha,ḫāʾ
7,د,dal,dāl
8,ذ,dzal,ḏāl
9,ر,ra,r āʾ
10,ز,zai,z ā y
11,س,sin,sīn
12,ش,syin,šīn
13,ص,shad,ṣād
14,ض,dhad,ḍād
15,ط,tha,ṭāʾ
16,ظ,zha',ẓāʾ
17,ع,'ain,'ain
18,غ,ghain,ġain
19,ف,fa,fāʾ
20,ق,qaf,qāf
21,ك,kaf,kāf
22,ل,lam,lām
23,م,mim,mīm
24,ن,nun,nūn
25,ه,ha,hāʾ
26,و,wau,wāw
27,ي,ya,yāʾ
