,B i l a n g a n,B a h a s a   T h a i,B a h a s a   I n d o n e s i a
0,0,sun,nol
1,1,nueng,satu
2,2,song,dua
3,3,sam,tiga
4,4,si,empat
5,5,ha,lima
6,6,hok,enam
7,7,chet,tujuh
8,8,paet,delapan
9,9,kao,sembilan
10,10,sip,sepuluh
11,20,yi sip,dua puluh
12,30,sam sip,tiga puluh
13,40,si sip,empat puluh
14,50,ha sip,lima puluh
15,60,hok sip,enam puluh
16,70,chet sip,tujuh puluh
17,80,paet sip,delapan puluh
18,90,kao sip,sembilan puluh
19,100,roi,seratus
20,1000,phan,seribu
21,10000,muen,sepuluh ribu
22,100000,saen,seratus ribu
23,1000000,lan,satu juta
24,1000000000,phan lan,satu miliar
25,1000000000000,lan lan,satu triliun
