,D i v i s i,I b u   k o t a,A r e a ( k m ² ),P o p u l a s i   ( 2 0 0 8 ) [ 8 ],K e y
0,Andijon Viloyati,Andijon,4200,2477900,2
1,Buxoro Viloyati,Buxoro (Bukhara),39400,1689000,3
2,Farg'ona Viloyati,Farg'ona (Fergana),6800,2997400,4
3,Jizzax Viloyati,Jizzax,20500,1192000,5
4,Xorazm Viloyati,Urganch,6300,1517600,13
5,Namangan Viloyati,Namangan,7900,2196200,6
6,Navoiy Viloyati,Navoiy,110800,"1.134,700",7
7,Qashqadaryo Viloyati,Qarshi,28400,2738000,8
8,Qaraqalpaqstan Respublikasi,Nukus,160000,1934300,14
9,Samarqand Viloyati,Samarqand,16400,3037000,9
10,Sirdaryo Viloyati,Guliston,5100,898800,10
11,Surxondaryo Viloyati,Termez,20800,2012600,11
12,Toshkent Viloyati,Toshkent (Tashkent),15300,2537500,12
13,Toshkent Shahri,Toshkent (Tashkent),139500,232837,1
