,""" F a k t a """,""" F a k t a "" . 1"
0,Pengamatan,Hipotesis yang terbukti
1,Fakta merupakan data empiris dan pengamatan objektif yang dapat diverifikasi.[11][12][13][14],'Fakta merupakan hipotesis yang secara kuat didukung oleh bukti-bukti yang kita asumsikan benar.' Douglas Futyuma.[15]
