,S i s t e m   i m u n   b a w a a n,S i s t e m   i m u n   a d a p t i f
0,Respons tidak spesifik,Respons spesifik patogen dan antigen
1,Paparan menyebabkan respons maksimal segera,Perlambatan waktu antara paparan dan respons maksimal
2,Komponen imunitas diperantarai sel dan imunitas humoral,Komponen imunitas diperantarai sel dan imunitas humoral
3,Tidak ada memori imunologis,Paparan menyebabkan adanya memori imunologis
4,Ditemukan hampir pada semua bentuk kehidupan,Hanya ditemukan pada vertebrata berahang
