,N e g a r a,U S P S,T a n g g a l   b e r g a b u n g,P e n d u d u k,I b u   k o t a,K o t a   b e r p e n d u d u k   t e r b a n y a k,B e n d e r a
0,Alabama,AL,,,Montgomery,Birmingham,
1,Alaska,AK,,,Juneau,Anchorage,
2,Arizona,AZ,,,Phoenix,Phoenix,
3,Arkansas,AR,,,Little Rock,Little Rock,
4,California,CA,,38802500.0,Sacramento,Los Angeles,
5,Colorado,CO,,,Denver,Denver,
6,Connecticut,CT,,,Hartford,Bridgeport,
7,Delaware,DE,,,Dover,Wilmington,
8,Florida,FL,,18089888.0,Tallahassee,Jacksonville,
9,Georgia,GA,,,Atlanta,Atlanta,
10,Hawai`i,HI,,,Honolulu,Honolulu,
11,Idaho,ID,,,Boise,Boise,
12,Illinois,IL,,12831970.0,Springfield,Chicago,
13,Indiana,IN,,,Indianapolis,Indianapolis,
14,Iowa,IA,,,Des Moines,Des Moines,
15,Kansas,KS,,,Topeka,Wichita,
16,Kentucky*,KY,,,Frankfort,Louisville,
17,Louisiana,LA,,,Baton Rouge,New Orleans *,
18,Maine,ME,,,Augusta,Portland,
19,Maryland,MD,,,Annapolis,Baltimore,
20,Massachusetts*,MA,,,Boston,Boston,
21,Michigan,MI,,10095643.0,Lansing,Detroit,
22,Minnesota,MN,,,Saint Paul,Minneapolis,
23,Mississippi,MS,,,Jackson,Jackson,
24,Missouri,MO,,,Jefferson City,Kansas City,
25,Montana,MT,,,Helena,Billings,
26,Nebraska,NE,,,Lincoln,Omaha,
27,Nevada,NV,,,Carson City,Las Vegas,
28,New Hampshire,NH,,,Concord,Manchester,
29,New Jersey,NJ,,,Trenton,Newark,
30,New Mexico,NM,,,Santa Fe,Albuquerque,
31,New York,NY,,19306183.0,Albany,New York,
32,North Carolina,NC,,,Raleigh,Charlotte,
33,North Dakota,ND,,,Bismarck,Fargo,
34,Ohio,OH,,11478006.0,Columbus,Columbus,
35,Oklahoma,OK,,,Oklahoma City,Oklahoma City,
36,Oregon,OR,,,Salem,Portland,
37,Pennsylvania*,PA,,12440621.0,Harrisburg,Philadelphia,
38,Rhode Island*,RI,,,Providence,Providence,
39,South Carolina,SC,,,Columbia,Columbia,
40,South Dakota,SD,,,Pierre,Sioux Falls,
41,Tennessee,TN,,,Nashville,Memphis,
42,Texas,TX,,23507783.0,Austin,Houston,
43,Utah,UT,,,Salt Lake City,Salt Lake City,
44,Vermont,VT,,,Montpelier,Burlington,
45,Virginia*,VA,,,Richmond,Virginia Beach,
46,Washington,WA,,,Olympia,Seattle,
47,West Virginia,WV,,,Charleston,Charleston,
48,Wisconsin,WI,,,Madison,Milwaukee,
49,Wyoming,WY,,,Cheyenne,Cheyenne,
