,C l u b,B e r d i r i,M a r k a s,L i g a,T i n g k a t   K o m p e t i s i
0,El Farolito,1985,Boxer Stadium,NPSL,4
1,San Francisco City FC,2001,Kezar Stadium,USL League Two,4
2,San Francisco Glens SC,1961,Skyline College,USL League Two,4
3,SF Elite Metro,2017,Negoesco Stadium,NISA Nation,5
