,A s a l   B a h a s a,J u m l a h   K a t a
0,Arab,1.495 kata
1,Belanda,3.280 kata
2,Tionghoa,290 kata
3,Hindi,7 kata
4,Inggris,1.610 kata
5,Parsi,63 kata
6,Portugis,131 kata
7,Sanskerta,677 kata
8,Tamil,83 kata
