,N a m a,P o p u l a s i   ( 2 0 0 1 ),B e k a s   d i s t r i k / b o r o u g h
0,Acklington,467.0,Alnwick
1,Acomb,1.184,Tynedale
2,Adderstone with Lucker,195.0,Berwick-upon-Tweed
3,Akeld,82.0,Berwick-upon-Tweed
4,Allendale,2.12,Tynedale
5,Alnham,99.0,Alnwick
6,Alnmouth,562.0,Alnwick
7,Alnwick,7.767,Alnwick
8,Alwinton,71.0,Alnwick
9,Amble,6.044,Alnwick
10,Ancroft,885.0,Berwick-upon-Tweed
11,Bamburgh,454.0,Berwick-upon-Tweed
12,Bardon Mill,364.0,Tynedale
13,Bavington,99.0,Tynedale
14,Beadnell,528.0,Berwick-upon-Tweed
15,Belford,1.055,Berwick-upon-Tweed
16,Belsay,436.0,Castle Morpeth
17,Bewick,69.0,Berwick-upon-Tweed
18,Biddlestone,88.0,Alnwick
19,Bowsden,157.0,Berwick-upon-Tweed
20,Branxton,121.0,Berwick-upon-Tweed
21,Brinkburn,200.0,Alnwick
22,Callaly,150.0,Alnwick
23,Capheaton,160.0,Castle Morpeth
24,Carham,347.0,Berwick-upon-Tweed
25,Cartington,97.0,Alnwick
26,Chatton,438.0,Berwick-upon-Tweed
27,Cornhill-on-Tweed,318.0,Berwick-upon-Tweed
28,Craster,342.0,Alnwick
29,Cresswell,237.0,Castle Morpeth
30,Denwick,266.0,Alnwick
31,Doddington,146.0,Berwick-upon-Tweed
32,Earle,89.0,Berwick-upon-Tweed
33,Easington,139.0,Berwick-upon-Tweed
34,East Chevington,3.192,Castle Morpeth
35,Edlingham,196.0,Alnwick
36,Eglingham,357.0,Alnwick
37,Ellingham,282.0,Berwick-upon-Tweed
38,Ellington dan Linton,2.678,Castle Morpeth
39,Elsdon,205.0,Alnwick
40,Embleton,699.0,Alnwick
41,Ewart,72.0,Berwick-upon-Tweed
42,Felton,958.0,Alnwick
43,Ford,487.0,Berwick-upon-Tweed
44,Glanton,222.0,Alnwick
45,Harbottle,235.0,Alnwick
46,Hartburn,198.0,Castle Morpeth
47,Hauxley,220.0,Alnwick
48,Hebron,679.0,Castle Morpeth
49,Heddon-on-the-Wall,1.518,Castle Morpeth
50,Hedgeley,322.0,Alnwick
51,Hepple,139.0,Alnwick
52,Hepscott,898.0,Castle Morpeth
53,Hesleyhurst,30.0,Alnwick
54,Hollinghill,90.0,Alnwick
55,Holy Island,162.0,Berwick-upon-Tweed
56,Horncliffe,374.0,Berwick-upon-Tweed
57,Ilderton,94.0,Berwick-upon-Tweed
58,Ingram,148.0,Berwick-upon-Tweed
59,Kilham,131.0,Berwick-upon-Tweed
60,Kirknewton,108.0,Berwick-upon-Tweed
61,Kyloe,323.0,Berwick-upon-Tweed
62,Lesbury,871.0,Alnwick
63,Lilburn,106.0,Berwick-upon-Tweed
64,Longframlington,979.0,Alnwick
65,Longhirst,446.0,Castle Morpeth
66,Longhorsley,798.0,Castle Morpeth
67,Longhoughton,1.442,Alnwick
68,Lowick,559.0,Berwick-upon-Tweed
69,Lynemouth,1.832,Castle Morpeth
70,Matfen,495.0,Castle Morpeth
71,Meldon,162.0,Castle Morpeth
72,Middleton,136.0,Berwick-upon-Tweed
73,Milfield,243.0,Berwick-upon-Tweed
74,Mitford,431.0,Castle Morpeth
75,Morpeth,13.833,Castle Morpeth
76,Netherton,194.0,Alnwick
77,Netherwitton,272.0,Castle Morpeth
78,Newton-by-the-Sea,242.0,Alnwick
79,Newton on the Moor dan Swarland,822.0,Alnwick
80,Norham,536.0,Berwick-upon-Tweed
81,North Sunderland,1.803,Berwick-upon-Tweed
82,Nunnykirk,138.0,Alnwick
83,"Ord, Northumberland",1.365,Berwick-upon-Tweed
84,Pegswood,3.174,Castle Morpeth
85,Ponteland,10.871,Castle Morpeth
86,Prudhoe,11.5,Tynedale
87,Rennington,305.0,Alnwick
88,Roddam,77.0,Berwick-upon-Tweed
89,Rothbury,1.74,Alnwick
90,Rothley,136.0,Alnwick
91,Shilbottle,1.349,Alnwick
92,Shoreswood,163.0,Berwick-upon-Tweed
93,Snitter,114.0,Alnwick
94,Stamfordham,1.047,Castle Morpeth
95,Stannington,1.219,Castle Morpeth
96,Thirston,510.0,Castle Morpeth
97,Thropton,409.0,Alnwick
98,Togston,340.0,Alnwick
99,Tritlington dan West Chevington,218.0,Castle Morpeth
100,Ulgham,365.0,Castle Morpeth
101,Wallington Demesne,361.0,Castle Morpeth
102,Warkworth,1.493,Alnwick
103,Whalton,427.0,Castle Morpeth
104,Whittingham,406.0,Alnwick
105,Whitton dan Tosson,223.0,Alnwick
106,Widdrington,158.0,Castle Morpeth
107,Widdrington Station dan Stobswood,2.386,Castle Morpeth
108,Wooler,1.857,Berwick-upon-Tweed
