,t a h u n,p e r a k,p e r a k,e m a s,e m a s
0,800,3.499 g,"112,5 ozt",–,–
1,1158,3.237 g,"104,1 ozt",–,–
2,1351,2.589 g,"83,2 ozt",2.321 g,"74,6 ozt"
3,1412,2.158 g,"69,4 ozt",2.089 g,"67,2 ozt"
4,1464,1.726 g,"55,5 ozt",1.547 g,"49,7 ozt"
5,1551,1.151 g,"37,0 ozt",1.031 g,"33,1 ozt"
6,1601,1.114 g,"35,8 ozt",variabel,variabel
7,1717,1.114 g,"35,8 ozt",732.238 g,"23.542,0 ozt"
8,1816,–,–,732.238 g,"23.542,0 ozt"
