,N a m a,W a k t u   h i d u p,S p e s i e s,T a h u n d i t e m u k a n,N e g a r a,P e n e m u
0,TM 266 (Toumai),7 juta tahun silam,Sahelanthropus tchadensis,2001,Chad,"Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum dan Ahounta Djimdoumalbaye"
1,BAR 1000'00,6 juta tahun silam,Orrorin tugenensis,2000,Kenya,"Martin Pickford, Kiptalam Cheboi, Dominique Gommery, Pierre Mein, Brigitte Senut,"
2,KNM-LT 329,5.5 juta tahun silam,Australopithecus anamensis,1967,Kenya,Arnold Lewis[2][3]
3,KNM-TH 13150,5.25-4.15 juta tahun silam,Australopithecus anamensis,1984,Kenya,Kiptalam Cheboi[2]
4,Ardi,4.4 juta tahun silam,Ardipithecus ramidus,1994,Ethiopia,Yohannes Haile Selassie
5,KNM-KP 271,4 juta tahun silam,Australopithecus anamensis,1965,Kenya,Bryan Patterson[2]
6,Jejak kaki Laetoli,3.7 juta tahun silam,Bipedal hominid,1976,Tanzania,Mary Leakey
7,LH 4,3.8 - 3.6 juta tahun silam,Australopithecus afarensis,1974,Tanzania,Mary Leakey
8,KNM WT 40000,3.5 juta tahun silam,Kenyanthropus platyops,1999,Kenya,Justus Erus
