,0,1,2,3,4,5,6,7,8,9,1 0
0,hitam=padat hijau=cair merah=gas abu-abu=tidak diketahui,,,,,,,,,,
1,hitam=padat,hijau=cair,merah=gas,abu-abu=tidak diketahui,,,,,,,
2,Primordial Hasil peluruhan Sintetis,,,,,,,,,,
3,Primordial,Hasil peluruhan,Sintetis,,,,,,,,
4,Logam Metaloid Nonlogam Sifatkimiatidak diketahui Logam alkali Logam alkali tanah Lan­tanida Aktinida Logam transisi Logam pasca-​transisi Nonlogam poliatomik Nonlogam diatomik Gas mulia,,,,,,,,,,
5,,,,,,,,,,,
6,Logam,Logam,Logam,Logam,Logam,Logam,Metaloid,Nonlogam,Nonlogam,Nonlogam,Sifatkimiatidak diketahui
7,Logam alkali,Logam alkali tanah,Lan­tanida,Aktinida,Logam transisi,Logam pasca-​transisi,Metaloid,Nonlogam poliatomik,Nonlogam diatomik,Gas mulia,Sifatkimiatidak diketahui
8,Sifatkimiatidak diketahui,,,,,,,,,,
