,P e n g h a r g a a n   d a n   p r e s t a s i,P e n g h a r g a a n   d a n   p r e s t a s i . 1,P e n g h a r g a a n   d a n   p r e s t a s i . 2
0,Didahului oleh:Charles Robert Darwin,Royal Medal1854,Diteruskan oleh:John Obadiah Westwood
1,Didahului oleh:Alfred Russel Wallace,Medali Darwin1892,Diteruskan oleh:Thomas Henry Huxley
2,Didahului oleh:Alfred Richard Cecil Selwyn,Medali Clarke1885,Diteruskan oleh:Laurent-Guillaume de Koninck
