,L a b i a l,A l v e o l a r,P a l a t a l,V e l a r,G l o t a l
0,m,n,ɲ,ŋ,
1,ᵐb,ⁿd,ⁿʤ,ᵑɡ,
2,b,d,,ɡ,
3,p,t,,k,
4,ɸ,s,,,h
5,w,l,j,,
6,,r,,,
