,N o,P a n g k a t /   J e n j a n g,T o t a l   K u m   y a n g   D i b u t u h k a n
0,1,Profesor (Prof),"850, 1050"
1,2,Lektor Kepala (LK),"400, 550, 700"
2,3,Lektor (L),"200, 300"
3,4,Asisten Ahli (AA),150
