,L a n g u a g e,1,2,3,4,5,6,7,8,9,1 0
0,"Bahasa Proto-Austronesia, ca. 4000 SM",*isa,*DuSa,*telu,*Sepat,*lima,*enem,*pitu,*walu,*Siwa,*puluq
1,Bahasa Melayu/Bahasa Indonesia,satu,dua,tiga,empat,lima,enam,tujuh,lapan/delapan,sembilan,sepuluh
2,Bahasa Amis,cecay,tusa,tulu,sepat,lima,enem,pitu,falu,siwa,pulu'
3,Bahasa Sunda,hiji,dua,tilu,opat,lima,genep,tujuh,dalapan,salapan,sapuluh
4,Bahasa Tsou,coni,yuso,tuyu,sʉptʉ,eimo,nomʉ,pitu,voyu,sio,maskʉ
5,Bahasa Tagalog,isá,dalawá,tatló,ápat,limá,ánim,pitó,waló,siyám,sampu
6,Bahasa Iloko,maysá,dua,talló,uppát,limá,inném,pitó,waló,siam,sangapúlo
7,Bahasa Cebu,usá,duhá,tuló,upat,limá,unom,pitó,waló,siyám,napulu
8,Bahasa Chamorro,maisa/håcha,hugua,tulu,fatfat,lima,gunum,fiti,guålu,sigua,månot/fulu
9,Bahasa Malagasi,iray/isa,roa,telo,efatra,dimy,enina,fito,valo,sivy,folo
10,Bahasa Chăm,sa,dua,tlau,pak,limy,nam,tajuh,dalipan,thalipan,pluh
11,Bahasa Batak Toba,sada,dua,tolu,opat,lima,onom,pitu,ualu,sia,sampulu
12,Bahasa Minangkabau,ciek,duo,tigo,ampek,limo,anam,tujuah,salapan,sambilan,sapuluah
13,Bahasa Rejang[58],do,duai,tlau,pat,lêmo,num,tujuak,dêlapên,sêmbilan,sêpuluak
14,Bahasa Jawa,siji,loro,telu,papat,lima,nem,pitu,wolu,sanga,sepuluh
15,Bahasa Tetun,ida,rua,tolu,hat,lima,nen,hitu,ualu,sia,sanulu
16,Bahasa Biak,eser/oser,suru,kyor,fyak,rim,wonem,fik,war,siw,samfur
17,Bahasa Fiji,dua,rua,tolu,vā,lima,ono,vitu,walu,ciwa,tini
18,Bahasa Kiribati,teuana,uoua,teniua,aua,nimaua,onoua,itiua,waniua,ruaiua,tebuina
19,Bahasa Samoa,tasi,lua,tolu,fā,lima,ono,fitu,valu,iva,sefulu
20,Bahasa Hawaii,kahi,lua,kolu,hā,lima,ono,hiku,walu,iwa,-'umi
