,B a h a s a   I n d o n e s i a,B a h a s a   T o n t e m b o a n
0,Nol,-
1,Satu,Esa
2,Dua,Rua
3,Tiga,Telu
4,Empat,əpat
5,Lima,Lima
6,Enam,Enem
7,Tujuh,Pitu
8,Delapan,Walu
9,Sembilan,Siow
10,Sepuluh,Saŋapulu’
11,Lima Puluh,Lima ŋapulu’
12,Seratus,Ma’atus
13,Mariwu,Seribu
