,N a m a,A r t i   a w a l a n,C o n t o h   1,C o n t o h   2
0,Magnordo,"magnus: besar, agung, penting",Boreoeutheria,
1,Superordo,super: di atas,Euarchontoglires,Parareptilia
2,Grandordo,grand: besar,Euarchonta,
3,Mirordo,"mirus: menakjubkan, aneh",Primatomorpha,
4,Ordo,,Primata,Procolophonomorpha
5,Subordo,sub: di bawah,Haplorrhini,Procolophonia
6,Infraordo,infra: lebih bawah,Simiiformes,Hallucicrania
7,Parvordo,"parvus: kecil, tidak penting",Catarrhini,
