,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r M,H u r u f   k e c i l m
0,Unicode,Unicode,U+004D,U+006D
1,ASCII,Desimal,77,108
2,ASCII,Biner,01001101,01101101
3,EBCDIC,EBCDIC,212,148
