,P e r i o d e,P e m a s o k   k o s t u m,S p o n s o r   b a j u   ( d a d a ),S p o n s o r   b a j u   ( l e n g a n )
0,1974–1982,Umbro,Tidaka ada sponsor,TIdak ada sponsor
1,1982–1984,Umbro,Saab,TIdak ada sponsor
2,1984–1987,Umbro,Philips,TIdak ada sponsor
3,1987–1997,Umbro,Brother,TIdak ada sponsor
4,1997–1999,Kappa,Brother,TIdak ada sponsor
5,1999–2002,Le Coq Sportif,Eidos,TIdak ada sponsor
6,2002–2003,Le Coq Sportif,First Advice,TIdak ada sponsor
7,2003–2004,Reebok,First Advice,TIdak ada sponsor
8,2004–2007,Reebok,Thomas Cook,TIdak ada sponsor
9,2007–2009,Le Coq Sportif,Thomas Cook,TIdak ada sponsor
10,2009–2013,Umbro,Etihad Airways,TIdak ada sponsor
11,2013–2017,Nike,Etihad Airways,TIdak ada sponsor
12,2017–2019,Nike,Etihad Airways,Nexen Tire
13,2019–,Puma,Etihad Airways,Nexen Tire
