,D e p a r t e m e n   E l   S a l v a d o r,D e p a r t e m e n   E l   S a l v a d o r . 1,D e p a r t e m e n   E l   S a l v a d o r . 2
0,,,
1,El Salvador Barat Ahuachapán (Ahuachapán)Santa Ana (Santa Ana)Sonsonate (Sonsonate),El Salvador Tengah La Libertad (Santa Tecla)Chalatenango (Chalatenango)Cuscatlán (Cojutepeque)San Salvador (San Salvador)La Paz (Zacatecoluca)Cabañas (Sensuntepeque)San Vicente (San Vicente),El Salvador Timur Usulután (Usulután)San Miguel (San Miguel)Morazán (San Francisco Gotera)La Unión (La Unión)
2,Catatan: Ibukota departemen ada dalam tanda kurung.,Catatan: Ibukota departemen ada dalam tanda kurung.,Catatan: Ibukota departemen ada dalam tanda kurung.
