,U n i t,S I
0,1 ca,1 m²
1,1 a,100 m²
2,1 ha,10.000 m²
3,100 ha,1 km²
4,Perbandingan non-SI,Perbandingan non-SI
5,Non-SI,Metrik
6,"0,3861 mi²",1 km²
7,"2,471 acre",1 ha
8,107.639 kaki²,1 ha
9,1 mi²,"259,0 ha"
10,1 acre,"0,4047 ha"
