,N o .,D a e r a h,A r e a   ( k m 2 ),P e r b a t a s a n   b a r a t,P e r b a t a s a n   t i m u r
0,1,Enderby Land,,044°38' E,056°25' E
1,2,Kemp Land,,056°25' E,059°34' E
2,3,Mac. Robertson Land,,059°34' E,072°35' E
3,4,Princess Elizabeth Land,,072°35' E,087°43' E
4,5,Kaiser Wilhelm II Land,,087°43' E,091°54' E
5,6,Queen Mary Land,,091°54' E,100°30' E
6,7,Wilkes Land,2600000.0,100°30' E,136°11' E
7,8,George V Land,,142°02' E,153°45' E
8,9,Oates Land,,153°45' E,160°00' E
