,J e p a n g,J e p a n g,J e p a n g
0,1973,2,0
1,1974,3,0
2,1975,5,0
3,1976,14,0
4,1977,0,0
5,1978,0,0
6,1979,0,0
7,1980,1,0
8,Total,25,0
