,"K i n i : "" [ h e ]   s a y s "" / "" [ h e ]   i s   s a y i n g ""","L a m p a u : "" [ h e ]   s a i d "" / "" [ h e ]   h a s   s a i d ""","L a m p a u   t a k   s e m p u r n a : "" [ h e ]   w a s   s a y i n g "" / "" [ h e ]   u s e d   t o   s a y """
0,dīcit,dīxit,dicēbat
1,dit,dit,disait
2,dice,disse,diceva
3,diz,disse,dizia
4,zice,zise,zicea
5,dice,dijo,decía
6,di,dixo,dicía
7,diu,digué,deia
8,o dîxe,o l'à dîto,o dîva
9,a dis,a l'ha dit,a disìa
