,B a h a n,K o n s t a n t a   d i e l e k t r i k
0,Vakum,1 (sesuai definisi)
1,Udara,100054
2,Polietilena,225
3,Kertas,35
4,PTFE (Teflon(TM)),21
5,Polistirena,"2,4-2,7"
6,Kaca pyrex,47
7,Karet,7
8,Silikon,1168
9,Metanol,30
10,Beton,45
11,Air (20ʡC),8010
12,Barium titanat,1200
