,N a m a,L a h i r,M e n i n g g a l,C a t a t a n
0,Putri yang tidak bernama,31 Januari 1510[33],31 Januari 1510[33],Lahir mati.
1,Henry,1 Januari 1511,22 Februari 1511,Hidup 52 hari.
2,Henry,Oktober 1513,Oktober 1513,Lahir mati atau hidup selama beberapa jam.
3,Henry,Desember 1514,Desember 1514,Hidup selama beberapa jam.
4,"Mary I, Ratu Inggris",18 Februari 1516,17 November 1558,Satu-satunya yang selamat.
5,Putri yang tidak bernama,10 November 1518,17 November 1518,Hidup selama tujuh hari.
