,P a r l e m e n   I n g g r i s,P a r l e m e n   I n g g r i s . 1,P a r l e m e n   I n g g r i s . 2
0,Didahului oleh:Arthur MainwaringJohn Goldsborough,Anggota Parlemen untuk Huntingdon1628–1629 Bersama dengan: James Montagu,LowongParlemen ditangguhkan sampai 1640Selanjutnya dijabat olehRobert Bernard
1,LowongParlemen ditangguhkan sampai 1629Terakhir dijabat olehThomas Purchase,Anggota Parlemen untuk Cambridge1640–1653 Bersama dengan: Thomas Meautys 1640John Lowry 1640–1653,LowongTidak terwakili dalam Parlemen BarebonesSelanjutnya dijabat olehRichard Timbs
2,Jabatan militer,Jabatan militer,Jabatan militer
3,Didahului oleh:Thomas Fairfax,Kapten Jenderal dan Commander-in-Chief of the Forces1650–1653,Diteruskan oleh:Jabatan lowong(Selanjutnya dijabat oleh George Monck)
4,Jabatan politik,Jabatan politik,Jabatan politik
5,Dewan Negara,Lord Protector16 Desember 1653 – 3 September 1658,Diteruskan oleh:Richard Cromwell
6,Jabatan akademik,Jabatan akademik,Jabatan akademik
7,Didahului oleh:Earl of Pembroke,Kanselir Universitas Oxford1650–1653,Diteruskan oleh:Richard Cromwell
