,N e g a r a,L u a s k m ²,P e n d u d u k ( 2 0 1 1 ),K e p a d a t a n   P o p u l a s i p e r   k m ²,I b u   k o t a,K o t a   t e r b e s a r,N o m i n a l   P D B j u t a   d o l a r   A S   ( 2 0 1 1 ),P D B   p e r   k a p i t a ( 2 0 1 1 ),M a t a   u a n g,B a h a s a   r e s m i,L a m b a n g
0,Kazakhstan,2.724.900,16.674.023,6,Nur Sultan,Almaty,178.312,$10.694,Tenge Kazakhstan,"Kazakh, Rusia",
1,Kirgizstan,199.900,5.532.710,27,Bishkek,Bishkek,5.92,$1.070,Som Kirgizstan,"Kirgiz, Rusia",
2,Tajikistan,143.100,7.849.579,51,Dushanbe,Dushanbe,6.523,$831,Somoni Tajikistan,Tajik (Persia),
3,Turkmenistan,488.100,5.526.406,10,Ashgabat,Ashgabat,25.742,$4.658,Manat Turkmenistan,Turkmen,
4,Uzbekistan,447.400,28.850.508,62,Tashkent,Tashkent,45.353,$1.572,Som Uzbekistan,Uzbek,
