,B a h a s a,K a t a,I P A,A r t i
0,Adyghe,сэ,[sa],"""saya"""
1,Belanda,steen,[steːn],"""batu"""
2,Estonia,sõna,['sɤnɑ],"""kata"""
3,Finlandia,sinä,[sinæ],"""kamu"""
4,Georgia,სამი,['sɑmi],"""tiga"""
5,Hindi,साल,[sa:l],"""tahun"""
6,Inggris,sand,[sænd],"""pasir"""
7,Jepang,複数形 fukusūkē,[ɸɯkɯsɯːkeː],"""bentuk jamak"""
8,Korea,소 so,[so],"""lembu"""
