,N o .,R a s,N e g a r a,J e n i s,A s a l,B a d a n,B u l u,P o l a,K e t e r a n g a n,F o t o
19,20.0,Kucing bombay,Amerika Serikat,Domestik,Persilangan,Sedang,Pendek,Hitam solid,,
20,21.0,Brambel,Amerika Serikat,Domestik,Persilangan,Besar,Pendek,Semua,Ras percobaan,Berkas:Bramble.jpg
21,22.0,Kucing bulu pendek brasil,Brasil,Domestik,Alami,Sedang,Pendek,Semua,,
22,23.0,Kucing bulu panjang britania,Britania Raya,Domestik,,Pendek,Panjang,Semua,,
23,24.0,Kucing bulu setengah panjang britania,Britania Raya,Domestik,Alami,Pendek,Sedang,Semua,,
24,25.0,Kucing bulu pendek britania,Britania Raya,Domestik,Alami,Sedang,Pendek,Semua,,
25,26.0,Kucing burma,Myanmar,Domestik,Alami,Sedang,Pendek,Solid,,
26,27.0,Burmilla,Britania Raya,Domestik,Persilangan,Sedang,Pendek,,,
27,28.0,Kucing berhias california,Amerika Serikat,Domestik,Persilangan,Sedang,Pendek,Tutul,,
28,29.0,Kucing kasymir,Amerika Serikat,Hibrida,,Sedang,Sedang,Tabi dan marmer,,Berkas:Cashmere.jpg
29,30.0,Kucing sailan,Sri Lanka,Domestik,,Sedang,Pendek,Tiktak,,Berkas:Gatto de Ceylon.jpg
30,31.0,Chantilly,Amerika Serikat,Domestik,Alami/Persilangan,Sedang,Panjang,Solid dan tabi,,
31,32.0,Chartreux,Prancis,Domestik,Alami,Pendek,Pendek,Solid,,
32,33.0,Chausie,Prancis,Hibrida,Persilangan,Sedang,Pendek,Tiktak,,
33,34.0,Cheetoh,Amerika Serikat,Hibrida,Persilangan,Sedang,Pendek,Tutul,,
34,35.0,Kucing bulu pendek warna poin,Amerika Serikat,Domestik,Alami/Persilangan,Sedang,Pendek,Warna poin,,
35,36.0,Rex cornish,Britania Raya,Domestik,Mutasi genetik,Sedang,Rex,Semua,,
36,37.0,Cymric,Britania Raya,Domestik,Alami/Mutasi genetik,Sedang,Rex,Semua,,
37,38.0,Rex devon,Inggris,Domestik,Mutasi genetik,Oriental,Rex,Semua,,
38,39.0,Sfinks don,Rusia,Domestik,Alami/Mutasi genetik,Sedang,Tanpa bulu,Semua,,
39,40.0,Dragon li,Tiongkok,Domestik,Alami,Sedang,Pendek,Tabi belang,,
40,41.0,Dwelf,Amerika Serikat,Domestik,Mutasi genetik/Persilangan,Kerdil,Tanpa bulu,Semua,Ras percobaan,Berkas:Dwelf.jpg
41,42.0,Mau mesir,Mesir,Domestik,Alami,Sedang,Pendek,Tutul,,
42,43.0,Kucing elf,Amerika Serikat,Hibrida,Mutasi genetik,Sedang,Tanpa bulu,Semua,,
43,44.0,Kucing bulu pendek eropa,Swedia,Domestik,Alami,Sedang,Pendek,Semua,,
44,45.0,Kucing foldex,Kanada,Domestik,Persilangan,Pendek,Pendek/Panjang,Semua,Ras percobaan,
45,46.0,Kucing bulu panjang eksotis,Amerika Serikat,Domestik,Persilangan,Pendek,Panjang,Semua,,Berkas:ExoticLonghair.jpg
46,47.0,Kucing eksotis,Amerika Serikat,Domestik,Persilangan,Pendek,Pendek,Semua,,
47,48.0,Kucing putih asing,Britania Raya,Domestik,Alami,Oriental,Pendek,Solid putih,,
48,49.0,Genetta,Amerika Serikat,Domestik,Persilangan,Kerdil,Pendek,Tutul,Ras percobaan,Berkas:Genetta.jpg
49,50.0,Rex jerman,Jerman,Domestik,Mutasi genetik,Sedang,Rex,Semua,,
