,"D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a","D a t a   i k l i m   P o n t i a n a k ,   K a l i m a n t a n   B a r a t ,   I n d o n e s i a"
0,Rekor tertinggi °C (°F),37 (99),38 (100),37 (99),39 (102),37 (99),38 (100),34 (93),37 (99),37 (99),40 (104),38 (100),37 (99),40 (104)
1,Rata-rata tertinggi °C (°F),30.8 (87.4),31.8 (89.2),32.4 (90.3),32 (90),32.3 (90.1),31.9 (89.4),31.9 (89.4),32.2 (90),33.2 (91.8),31.9 (89.4),31.1 (88),30.8 (87.4),31.86 (89.37)
2,Rata-rata harian °C (°F),26.9 (80.4),27.9 (82.2),28.2 (82.8),28.1 (82.6),28 (82),27.8 (82),27.5 (81.5),27.8 (82),28.3 (82.9),27.7 (81.9),27.3 (81.1),27.2 (81),27.73 (81.87)
3,Rata-rata terendah °C (°F),23.1 (73.6),23.5 (74.3),24 (75),23.8 (74.8),23.7 (74.7),23.6 (74.5),23.1 (73.6),23.7 (74.7),24.3 (75.7),23.6 (74.5),23.6 (74.5),23.5 (74.3),23.63 (74.52)
4,Rekor terendah °C (°F),17 (63),18 (64),21 (70),21 (70),20 (68),20 (68),20 (68),21 (70),21 (70),20 (68),20 (68),19 (66),17 (63)
5,Presipitasi mm (inci),276 (10.87),181 (7.13),202 (7.95),239 (9.41),261 (10.28),212 (8.35),201 (7.91),174 (6.85),220 (8.66),314 (12.36),358 (14.09),339 (13.35),"2.977 (117,21)"
6,Rata-rata hari hujan,19,13,14,16,18,15,14,13,15,20,22,21,200
7,% kelembapan,86,85,85,87,85,84,81,83,85,88,88,87,85.3
8,Rata-rata sinar matahari harian,7.6,8.7,8.4,8.0,8.3,8.7,9.1,9.2,8.4,7.3,6.7,7.4,8.15
9,Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11],Sumber #1: Weatherbase[10] & BMKG[11]
10,Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12],Sumber #2: Climate-Data.org [12]
