,E l e m e n,R e n t a n g   p e r s e n t a s e
0,Karbon,83 sampai 87%
1,Hidrogen,10 sampai 14%
2,Nitrogen,0.1 sampai 2%
3,Oksigen,0.05 sampai 1.5%
4,Sulfur,0.05 sampai 6.0%
5,Logam,< 0.1%
