,J e n i s   u j i a n,M a s a   t a h u n
0,Ujian Negara,1965–1971
1,Ujian Sekolah,1972–1979
2,Evaluasi Belajar Tahap Nasional,1980–2002
3,Ujian Akhir Sekolah,2003-2007
4,Ujian Akhir Sekolah Berstandar Nasional,2008-2010
5,Ujian Nasional,2011-2019
6,Ujian Sekolah/Madrasah,2014-sekarang (Khusus SD/MI)
7,Asesmen Nasional/Asesmen Kompetensi Minimum,"2020-sekarang (kelas 5, 8, 11)"
