,K e l o m p o k,S p e s i e s,t e r a n c a m,H a m p i r   t e r a n c a m,K e k u r a n g a n   d a t a
0,Elasmobranchii,,17%,13%,47%
1,Kerapu,,12%,14%,30%
2,Terumbu karang,845.0,27%,20%,17%
3,Mamalia laut,,25%,,
4,Burung laut,,27%,,
5,Penyu,7.0,86%,,
