,P r o v i n s i,I S O   3 1 6 6 - 2,I b u   k o t a,L u a s [ 1 1 ],P o p u l a s i   ( 2 0 0 5 ) [ 1 1 ],K u n c i
0,Kota Ashgabat,,Ashgabat,470 km2 (180 sq mi),871500,
1,Provinsi Ahal,TM-A,Anau,97.160 km2 (37.510 sq mi),939700,1.0
2,Provinsi Balkan,TM-B,Balkanabat,139.270 km2 (53.770 sq mi),553500,2.0
3,Provinsi Daşoguz,TM-D,Daşoguz,73.430 km2 (28.350 sq mi),1370400,3.0
4,Provinsi Lebap,TM-L,Türkmenabat,93.730 km2 (36.190 sq mi),1334500,4.0
5,Provinsi Mary,TM-M,Mary,87.150 km2 (33.650 sq mi),1480400,5.0
