,0,1,2
39,34,Uni Emirat Arab,779.234
40,35,Swiss,739.494
41,36,Belgia,715.658
42,37,Rumania,707.747
43,38,Singapura,701.804
44,39,Swedia,674.263
45,40,Irlandia,633.533
46,41,Kazakhstan,590.370
47,42,Ukraina,588.433
48,43,Aljazair,586.175
49,44,Austria,582.127
50,45,Chili,568.319
51,46,Hong Kong,522.160
52,47,Peru,513.715
53,48,Irak,512.926
54,49,Ceko,509.953
55,50,Israel,478.010
56,51,Norwegia,423.871
57,52,Portugal,419.652
58,53,Denmark,406.011
59,54,Hongaria,398.278
60,55,Yunani,378.693
61,56,Etiopia,345.138
62,57,Sri Lanka,340.861
63,58,Maroko,331.542
64,59,Uzbekistan,326.015
65,60,Finlandia,321.233
66,61,Kenya,308.671
67,62,Qatar,301.231
68,63,Selandia Baru,260.122
69,64,Myanmar,257.343
70,65,Republik Dominika,254.992
71,66,Kuwait,245.182
72,Rank,Negara/Teritori,PDB KKB (Juta Int$)
73,67,Angola,242.286
74,68,Ekuador,228.025
75,69,Ghana,216.676
76,70,Slowakia,211.119
77,71,Sudan,207.336
78,72,Tanzania,206.568
79,73,Belarus,201.649
80,74,Bulgaria,195.399
81,75,Guatemala,185.743
82,76,Pantai Gading,180.059
83,77,Azerbaijan,175.658
84,78,Oman,165.947
85,79,Serbia,163.599
86,80,Venezuela,160.132
87,81,Panama,158.608
88,82,Tunisia,149.182
89,83,Kroasia,145.032
90,84,Nepal,138.200
91,85,Puerto Riko,132.001
92,86,Lituania,129.658
93,87,Uganda,129.476
94,88,Kosta Rika,128.134
95,89,Republik Demokratik Kongo,127.384
96,90,Libya,124.326
97,91,Kamerun,122.764
98,92,Yordania,122.180
99,93,Bolivia,117.877
100,94,Turkmenistan,117.672
101,95,Paraguay,107.554
102,96,Slovenia,102.424
103,97,Uruguay,94.783
104,98,Luksemburg,90.532
105,99,Kamboja,87.856
106,100,Bahrain,87.150
107,101,Lebanon,82.144
108,102,Afganistan,80.912
109,103,Zambia,75.960
110,104,Senegal,72.341
111,105,Latvia,70.352
112,106,Honduras,69.388
113,107,El Salvador,69.314
114,108,Georgia,69.136
115,109,Laos,68.703
116,110,Yaman,65.603
117,111,Bosnia dan Herzegovina,60.679
118,112,Makau,59.660
119,113,Estonia,59.557
120,114,Burkina Faso,58.985
121,115,Mali,55.335
122,116,Benin,53.108
123,117,Madagaskar,51.521
124,118,Albania,49.827
125,119,Mozambik,47.606
126,120,Botswana,47.262
127,121,Armenia,46.864
128,122,Nikaragua,46.757
129,123,Mongolia,46.421
130,124,Tajikistan,45.540
131,125,Guinea,44.455
132,126,Siprus,43.802
133,127,Moldova,42.483
134,128,Trinidad dan Tobago,42.529
135,129,Makedonia Utara,40.810
136,130,Zimbabwe,39.906
137,131,Papua Nugini,39.339
138,132,Gabon,38.574
139,Rank,Negara/Teritori,PDB KKB (Juta Int$)
140,133,Haiti,38.476
141,134,Kirgizstan,37.792
142,135,Niger,37.423
143,136,Rwanda,37.211
144,137,Malawi,35.409
145,138,Palestina,33.403
146,139,Brunei,33.389
147,140,Jamaika,32.378
148,141,Mauritius,31.720
149,142,Guyana,30.287
150,143,Mauritania,29.993
151,144,Chad,29.684
152,145,Guinea Khatulistiwa,28.522
153,146,Malta,28.846
154,147,Namibia,27.118
155,148,Kosovo,25.189
156,149,Islandia,24.197
157,150,Togo,22.612
158,151,Republik Kongo,22.519
159,152,Sierra Leone,16.277
160,153,Bahama,15.854
161,154,Montenegro,15.476
162,155,Sudan Selatan,13.533
163,156,Fiji,12.370
164,157,Eswatini,11.985
165,158,Maladewa,11.385
166,159,Burundi,10.779
167,160,Suriname,10.676
168,161,Bhutan,9.853
169,162,Liberia,8.776
170,163,Eritrea,7.695
171,164,Gambia,6.792
172,165,Jibuti,6.774
173,166,Lesotho,6.408
174,167,Afrika Tengah,5.528
175,168,Guinea-Bissau,5.279
176,169,Andorra,5.157
177,170,Barbados,5.037
178,171,Timor Leste,4.573
179,172,Aruba,4.420
180,173,Tanjung Verde,4.413
181,174,Seychelles,3.489
182,175,Komoro,3.206
183,176,Belize,3.148
184,177,Saint Lucia,3.025
185,178,San Marino,2.387
186,179,Antigua dan Barbuda,2.206
187,180,Grenada,2.081
188,181,Saint Vincent dan Grenadine,1.720
189,182,Kepulauan Solomon,1.705
190,183,Saint Kitts dan Nevis,1.609
191,184,Samoa,1.193
192,185,Dominika,1.074
193,186,Sao Tome dan Principe,1.063
194,187,Vanuatu,920
195,188,Tonga,678
196,189,Federasi Mikronesia,383
197,190,Kiribati,266
198,191,Palau,243
199,192,Kepulauan Marshall,235
200,193,Nauru,144
201,194,Tuvalu,63
